"","plotID","year","plotIDyear","CYCCON2","DICDIL5","STEPLE","DICAMB","DICELO","PASDEP","SELELL","ANIMER2","CYCFRE","PTESP23","DICPOL","SELGRA","CARSYL","SELOPA","LOXCRE","ANIHAP","TETCAR2","CICPUN","CYLUNI","CHLEMA","PASPUN","CRADUB","TETINT","AMBMEX","TETVIR","DICFUR1","HARKAT","CLIBAL","ANIRUS","SELSP2","APESIN","ELAGRA","SCAUNI1","ACUTES","AGOCON","HELNIG","NOTSAY","NOTTER","LEBPUL","PTEOPH","NOTNOV","SELPAL","SELFOS","SELFAT","SELCON2","HARPEN","SPHSTE1","POLLAE"
"1","TALL_006","2016","TALL_006 2016",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","TALL_007","2016","TALL_007 2016",7,9,0,1,0,2,0,0,8,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","TALL_009","2016","TALL_009 2016",6,2,0,0,0,12,2,0,0,0,0,0,2,6,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","TALL_003","2016","TALL_003 2016",7,2,1,0,1,0,0,11,4,0,0,0,1,10,0,4,7,5,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","TALL_008","2016","TALL_008 2016",4,3,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","TALL_005","2016","TALL_005 2016",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","TALL_013","2016","TALL_013 2016",4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","TALL_004","2016","TALL_004 2016",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","TALL_001","2016","TALL_001 2016",4,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","TALL_002","2016","TALL_002 2016",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","TALL_013","2017","TALL_013 2017",6,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","TALL_003","2017","TALL_003 2017",2,0,0,0,0,0,2,17,0,0,0,0,0,3,0,3,6,1,0,0,0,0,6,0,2,0,0,0,1,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"13","TALL_009","2017","TALL_009 2017",0,1,0,0,0,3,2,18,1,0,0,0,0,9,0,2,0,0,0,0,1,0,6,0,0,0,0,2,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"14","TALL_005","2017","TALL_005 2017",7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","TALL_007","2017","TALL_007 2017",13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","TALL_002","2017","TALL_002 2017",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","TALL_001","2017","TALL_001 2017",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","TALL_004","2017","TALL_004 2017",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","TALL_008","2017","TALL_008 2017",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","TALL_006","2017","TALL_006 2017",0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","TALL_009","2018","TALL_009 2018",0,0,0,0,0,0,0,1,1,0,0,0,2,4,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"22","TALL_003","2018","TALL_003 2018",1,0,0,0,0,0,3,19,0,0,1,1,0,1,2,1,7,4,0,0,0,0,3,0,1,0,1,2,0,4,0,1,0,2,1,0,0,1,3,0,0,1,1,3,1,0,0,0
"23","TALL_008","2018","TALL_008 2018",14,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","TALL_007","2018","TALL_007 2018",17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"25","TALL_001","2018","TALL_001 2018",6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","TALL_005","2018","TALL_005 2018",6,0,0,0,0,4,0,0,0,0,1,0,1,2,2,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","TALL_002","2018","TALL_002 2018",6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","TALL_004","2018","TALL_004 2018",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","TALL_006","2018","TALL_006 2018",1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"30","TALL_013","2018","TALL_013 2018",1,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","TALL_001","2019","TALL_001 2019",10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"32","TALL_009","2019","TALL_009 2019",1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"33","TALL_007","2019","TALL_007 2019",16,5,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","TALL_003","2019","TALL_003 2019",4,0,0,0,0,0,0,6,0,0,0,1,0,17,0,21,1,0,0,0,0,0,5,0,0,0,0,0,0,5,0,1,0,2,3,0,0,0,0,1,0,0,0,2,4,0,0,0
"35","TALL_008","2019","TALL_008 2019",6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
"36","TALL_004","2019","TALL_004 2019",8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"37","TALL_002","2019","TALL_002 2019",17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","TALL_005","2019","TALL_005 2019",2,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","TALL_006","2019","TALL_006 2019",3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","TALL_013","2019","TALL_013 2019",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
