plotID,nlcdClass,Deciduous,Evergreen,AM,ECM,totalBA,perEvergreen,perECM,ShannonPlant,SimpsonPlant
HARV_001,deciduousForest,7306.728854999999,2468.73224,691.279275,9084.18182,9775.461095,25.254381517233178,92.92842283057543,0.9714976727628931,0.5332003953918627
HARV_002,deciduousForest,7628.956665,292.590895,544.77567,7376.77189,7921.54756,3.693607755098803,93.12286310378474,1.0567778575600555,0.5364887163346916
HARV_004,mixedForest,5535.677715,0,3719.460325,1816.21739,5535.677715,0,32.809305084336906,1.1325328857980872,0.6035460813783209
HARV_005,deciduousForest,7725.65957,1080.7773049999998,2330.4213999999997,6476.015475,8806.436875,12.272583342624594,73.53729512766195,0.9094350575926098,0.5395744038834174
HARV_006,deciduousForest,9120.1263,193.57862,1016.8454599999999,8296.85946,9313.704919999998,2.078427668288207,89.08226673773557,0.7812072697163137,0.4029908490530074
HARV_008,deciduousForest,8038.563494999999,366.48288,451.07337500000006,7953.973,8405.046375,4.360271956262705,94.63330296021121,0.8903542969891963,0.483245762012144
HARV_010,mixedForest,5198.682505,4318.01918,609.5951299999999,8907.106555,9516.701685,45.373064354911534,93.59447054055683,1.1028810201998052,0.6193045203727532
HARV_013,evergreenForest,3550.593535,18931.861785,1459.152655,21023.302665,22482.45532,84.20726969335306,93.50981628015529,0.5431661732159477,0.2780475873073942
HARV_014,mixedForest,8854.210985,9040.500165,971.2079099999999,16923.50324,17894.71115,50.520514632615345,94.5726538871794,1.1694718706627765,0.6447489388971991
HARV_021,evergreenForest,2801.06158,4545.45285,2644.8963249999997,4701.618105,7346.514429999999,61.872237416948764,63.99794283123732,0.7467049768085732,0.4871159493129533
HARV_022,evergreenForest,1968.7065049999999,21114.52278,0,23083.229284999998,23083.229284999998,91.47126911623536,100,0.4298515244983553,0.17943997967181968
HARV_025,mixedForest,10780.37481,12980.843089999998,5583.1769,18178.040999999997,23761.2179,54.630377721505596,76.50298514370341,1.506180656146605,0.7342481120619619
