plotID,nlcdClass,DF_BA,EGBA,AM_BA,ECM_BA,totalBA,PerEG_BA,PerECM_BA,Shan_BA,Sim_BA,DF_ST,EF_ST,AM_ST,ECM_ST,totalStems,PerEG_ST,PerECM_ST,Shan_ST,Sim_ST
HARV_001,deciduousForest,7306.728854999999,2468.73224,691.279275,9084.18182,9775.461094999999,25.254381517233178,92.92842283057546,0.971497672762893,0.5332003953918627,10,5,4,11,15,33.33333333333333,73.33333333333333,1.3397942802855756,0.7288888888888889
HARV_002,deciduousForest,7628.956665,292.590895,544.77567,7376.77189,7921.54756,3.693607755098803,93.12286310378474,1.0567778575600555,0.5364887163346916,12,1,5,8,13,7.6923076923076925,61.53846153846154,1.412744636863848,0.7218934911242604
HARV_004,mixedForest,5535.677715,0,3719.4603250000005,1816.21739,5535.677715,0,32.809305084336906,1.1325328857980872,0.6035460813783209,7,0,5,2,7,0,28.57142857142857,1.277034259466139,0.6938775510204082
HARV_005,deciduousForest,7725.659569999999,1080.777305,2330.4213999999997,6476.015475,8806.436875,12.272583342624598,73.53729512766195,0.90943505759261,0.5395744038834174,16,5,12,9,21,23.809523809523807,42.857142857142854,0.9773202089564674,0.5804988662131519
HARV_006,deciduousForest,9120.126299999996,193.57862,1016.8454599999999,8296.85946,9313.704919999996,2.0784276682882075,89.08226673773558,0.7812072697163136,0.4029908490530074,22,2,8,16,24,8.333333333333332,66.66666666666666,1.1907825152919047,0.65625
HARV_008,deciduousForest,8038.563494999999,366.48288,451.07337500000006,7953.973,8405.046375,4.360271956262705,94.63330296021121,0.8903542969891964,0.483245762012144,9,1,2,8,10,10,80,1.2798542258336676,0.7
HARV_010,mixedForest,5198.682505,4318.01918,609.5951299999999,8907.106555,9516.701685,45.373064354911534,93.59447054055683,1.1028810201998054,0.619304520372753,5,8,3,10,13,61.53846153846154,76.92307692307693,1.1569876443452742,0.6272189349112427
HARV_013,evergreenForest,3550.593535,18931.861785000005,1459.152655,21023.302665,22482.455319999997,84.20726969335308,93.5098162801553,0.5431661732159476,0.2780475873073941,2,10,1,11,12,83.33333333333334,91.66666666666666,0.5660857389596289,0.29166666666666663
HARV_014,mixedForest,8854.210985,9040.500165,971.2079099999999,16923.50324,17894.711149999996,50.52051463261535,94.57265388717941,1.1694718706627765,0.6447489388971991,13,9,4,18,22,40.909090909090914,81.81818181818183,1.3222894693966978,0.7148760330578512
HARV_021,evergreenForest,2801.0615799999996,4545.45285,2644.8963249999997,4701.618105,7346.514429999999,61.872237416948764,63.99794283123732,0.7467049768085732,0.4871159493129533,7,4,6,5,11,36.36363636363637,45.45454545454545,0.9164648855394713,0.5619834710743802
HARV_022,evergreenForest,1968.706505,21114.52278,0,23083.229284999998,23083.229284999998,91.47126911623536,100,0.4298515244983553,0.1794399796718199,8,19,0,27,27,70.37037037037037,100,1.0608569471580214,0.5212620027434842
